job_id,cell,speaker,pool,reference_wav,transcript,transcript_source,script_class,language,tool,output_path,seed
1,eval_hi,111627,eval,refs/111627.wav,libar ophis calc men formoolaa aur functions par spoken tutorial men aapkaa svagaat hai,लिबर ऑफिस calc में फ़ॉर्मूला और functions पर spoken tutorial में आपका स्वगात है,mixed,hi,xtts_v2,outputs/xtts_v2_111627_00001.wav,7001
2,eval_hi,121073,eval,refs/121073.wav,is tutorial men ham in baare men seekhenge: conditional operator if or statement basic statistic functions sankhyaaon kaa poornan,इस tutorial में हम in बारे में सीखेंगे: conditional operator if or statement basic statistic functions संख्याओं का पूर्णन,mixed,hi,xtts_v2,outputs/xtts_v2_121073_00002.wav,7002
3,eval_hi,136325,eval,refs/136325.wav,ham basic arithmetic operators laagoo karnaa jaise jornaa ghataanaa aur data kaa ausat nikaalnaa pahle hee seekh chuke hain,हम basic arithmetic operators लागू करना जैसे जोड़ना घटाना और data का औसत निकालना पहले ही सीख चुके हैं,mixed,hi,xtts_v2,outputs/xtts_v2_136325_00003.wav,7003
4,eval_hi,146859,eval,refs/146859.wav,ab kuchh aur laabhdaayak operators ke baare men seekhte hain,अब कुछ और लाभदायक operators के बारे में सीखते हैं,mixed,hi,xtts_v2,outputs/xtts_v2_146859_00004.wav,7004
5,eval_hi,165325,eval,refs/165325.wav,ek bahut hee saamaanyatah istemaal kiye jaane vaalaa operator hai conditional operator,एक बहुत ही सामान्यतः इस्तेमाल किये जाने वाला operator है conditional operator,mixed,hi,xtts_v2,outputs/xtts_v2_165325_00005.wav,7005
6,eval_hi,175522,eval,refs/175522.wav,conditional operators upyogkartaa dvaaraa data par laagoo condition ko jaanchate hain,conditional operators उपयोगकर्ता द्वारा data पर लागू condition को जाँचते हैं,mixed,hi,xtts_v2,outputs/xtts_v2_175522_00006.wav,7006
7,eval_hi,232748,eval,refs/232748.wav,aur phir uttar boolean men pradarshit kartaa haishee yaa galat,और फिर उत्तर boolean में प्रदर्शित करता हैसही या गलत,mostly_devanagari,hi,xtts_v2,outputs/xtts_v2_232748_00007.wav,7007
8,eval_hi,238121,eval,refs/238121.wav,yahaan cost sheershak ke neeche hamne kaee saaree vastuon kee keemat ko soocheebaddh kiyaa hai,यहाँ cost शीर्षक के नीचे हमने कई सारी वस्तुओं की कीमत को सूचीबद्ध किया है,mostly_devanagari,hi,xtts_v2,outputs/xtts_v2_238121_00008.wav,7008
9,eval_hi,386410,eval,refs/386410.wav,in par conditional operators laagoo karen aur uttar kaa vishleshan karen,इन पर conditional operators लागू करें और उत्तर का विश्लेषण करें,mixed,hi,xtts_v2,outputs/xtts_v2_386410_00009.wav,7009
10,eval_hi,541916,eval,refs/541916.wav,conditions kaa uttar is cell men laagoo hogaa aur pradarshit hogaa,conditions का उत्तर इस cell में लागू होगा और प्रदर्शित होगा,mixed,hi,xtts_v2,outputs/xtts_v2_541916_00010.wav,7010
